individual_username,individual_subtype,hcc_id,shared_video_count,creator_video_count,hcc_account_count,hcc_comment_count,first_hcc_comment_timestamp,last_hcc_comment_timestamp,target_brand,hcc_goal_orientation,association_type
faniabsaa,Video Creator,20,1,1,3,3,2023-10-07 23:15:36+00:00,2023-10-07 23:17:03+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
faniabsaa,Video Creator,42,1,1,5,5,2023-10-07 11:08:27+00:00,2023-10-07 11:11:24+00:00,Daviena/Davina,Promotional / Supportive,Observed Creator-Community Context
faniabsaa,Video Creator,63,1,1,1,1,2025-12-28 02:30:09+00:00,2025-12-28 02:30:09+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
fvajar_,Video Creator,17,1,1,5,5,2023-03-25 03:56:00+00:00,2023-03-25 05:09:59+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
fvajar_,Video Creator,18,1,1,6,6,2023-05-02 16:20:17+00:00,2023-05-02 16:23:38+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
fvajar_,Video Creator,180,1,1,4,7,2023-03-20 16:11:08+00:00,2023-03-20 16:13:29+00:00,Azarine,Promotional / Supportive,Observed Creator-Community Context
fvajar_,Video Creator,54,1,1,9,10,2023-01-09 22:36:12+00:00,2023-05-18 06:48:55+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
fvajar_,Video Creator,87,1,1,5,5,2023-03-06 14:52:00+00:00,2023-03-06 17:36:55+00:00,Azarine,Mixed Goals,Observed Creator-Community Context
glowupyuk34,Video Creator,46,1,1,7,7,2023-03-18 04:11:30+00:00,2023-03-18 04:13:34+00:00,The Originote,Neutral Engagement,Observed Creator-Community Context
iketiaaa,Video Creator,34,1,1,2,2,2024-09-26 10:16:29+00:00,2024-09-26 12:34:46+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
iketiaaa,Video Creator,42,1,1,5,9,2025-01-11 03:57:54+00:00,2025-01-11 04:00:58+00:00,Daviena/Davina,Promotional / Supportive,Observed Creator-Community Context
iketiaaa,Video Creator,46,1,1,7,7,2024-09-26 10:10:43+00:00,2024-09-26 10:13:09+00:00,Daviena/Davina,Neutral Engagement,Observed Creator-Community Context
iketiaaa,Video Creator,74,1,1,3,3,2024-09-27 05:46:29+00:00,2024-09-27 05:47:49+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
irnaayu27,Video Creator,103,2,2,5,10,2024-06-05 13:32:23+00:00,2025-02-09 04:43:33+00:00,Daviena/Davina,Neutral Engagement,Observed Creator-Community Context
irnaayu27,Video Creator,16,1,2,5,5,2024-06-15 23:27:18+00:00,2024-06-15 23:29:22+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
irnaayu27,Video Creator,168,1,2,5,9,2024-06-18 00:48:54+00:00,2024-06-18 00:52:01+00:00,Daviena/Davina,Promotional / Supportive,Observed Creator-Community Context
irnaayu27,Video Creator,181,1,2,5,9,2024-07-07 06:48:19+00:00,2024-07-07 06:51:05+00:00,Daviena/Davina,Promotional / Supportive,Observed Creator-Community Context
irnaayu27,Video Creator,52,2,2,5,10,2024-06-05 00:22:36+00:00,2024-06-11 13:23:39+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
irnaayu27,Video Creator,60,1,2,2,2,2024-06-27 03:28:41+00:00,2024-06-27 05:11:51+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
irnaayu27,Video Creator,63,1,2,2,2,2024-08-30 06:22:22+00:00,2024-08-30 08:19:56+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
irnaayu27,Video Creator,75,1,2,4,4,2024-07-20 13:27:14+00:00,2024-07-20 13:29:36+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
janeabys,Video Creator,205,1,1,5,9,2023-03-07 17:51:34+00:00,2023-03-07 17:54:54+00:00,The Originote,Promotional / Supportive,Observed Creator-Community Context
janeabys,Video Creator,5,1,1,8,8,2022-09-25 17:31:37+00:00,2026-03-19 21:28:20+00:00,The Originote,Neutral Engagement,Observed Creator-Community Context
jesyjeyn,Video Creator,150,1,1,6,6,2024-04-22 00:49:44+00:00,2024-04-22 00:52:00+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
